key,Portuguese,English,Context / Notes
after_get_exp/say_9,A habilidade <color=#D73022>\vsn(skill_got)</color> de \boy foi desbloqueada!,\boy's skill <color=#D73022>\vsn(skill_got)</color> has been unlocked!,
after_get_exp/say_10,A habilidade <color=#D73022>\vsn(skill_got)</color> de \girl foi desbloqueada!,\girl's skill <color=#D73022>\vsn(skill_got)</color> has been unlocked!,
after_get_exp/say_11,A habilidade <color=#D73022>\vsn(skill_got)</color> do casal foi desbloqueada!,The couple's <color=#D73022>\vsn(skill_got)</color> skill has been unlocked!,
cap1_conversa_ana/say_0,Chegando no ginásio...,Arriving on the gym...,
cap1_conversa_ana/say_1,Ana e Daniel se sentam para lanchar.,Anna and Daniel sit down to have a snack.,
cap1_conversa_ana/say_2,Daniel e Ana encontram-se no ginásio.,Daniel and Anna meet at the sport club.,
cap1_conversa_ana/say_3,Eles se sentam em um banquinho para conversar.,They sit down on a bench to talk.,
cap1_conversa_ana/say_4,"Como andam os treinos, Ana?","How's your training going, Anna?",
cap1_conversa_ana/say_5,"Tão ótimos, tô progredindo bastante.","It's going great, I'm making so much progress.",
cap1_conversa_ana/say_6,Daniel percebe que o braço de Ana está com um grande hematoma.,Daniel notices that Anna has a large bruise on her arm.,
cap1_conversa_ana/say_7,Tá tudo bem mesmo? Seu braço parece machucado.,Are you sure you're okay? It looks like you hurt your arm.,
cap1_conversa_ana/say_8,"Tá sim. É um machucado pequeno, acontece o tempo todo por lá.","I'm fine. It's a small bruise, it happens all the time out there.",
cap1_conversa_ana/say_9,"Tudo bem. Só tenta tomar mais cuidado, tá?","Alright. Just try to be more careful, okay?",
cap1_conversa_ana/say_10,"Não se preocupa, é preciso muito mais que isso pra me parar.","Don't worry, it would take a lot more than this to stop me.",
cap1_conversa_ana/say_11,"A garota sorri, confiante.",The girl gives a confident smile.,
cap1_conversa_ana/say_12,"Daniel, eu tava assistindo ao jogo dos Monsters ontem e eu decidi em qual posição eu quero jogar.","Daniel, after watching the Monsters' game yesterday, I decided the position I want to play in.",
cap1_conversa_ana/say_13,"Que legal, qual vai ser sua posição?","Cool, what's it going to be?",
cap1_conversa_ana/say_14,"Eu vou ser pivô, igual ao Hopping James!","I'm going to play Center, just like James Hopper!",
cap1_conversa_ana/say_15,"É a posição mais legal do time, que fica perto da cesta e faz a maior quantidade de pontos!","It's the coolest position on the team. It's the closest to the hoop, which allows you to score the most points!",
cap1_conversa_ana/say_16,"Uou, parece bem incrível.","Wow, that sounds pretty awesome.",
cap1_conversa_ana/say_17,E eu vou ser a maior pivô de todos os tempos!,And I'm going to be the best Center of all times!,
cap1_conversa_ana/say_18,"Não a maior em altura, com certeza...","Not the tallest, though, that's for sure...",
cap1_conversa_ana/say_19,"Vem cá, eu vou te dar um cascudo!",I'm going to punch you! Get over here!,
cap1_conversa_ana/say_20,Hahaha.,Hahaha.,
cap1_conversa_ana/say_21,"Ei Daniel, eu preparei uma rotina de treinos pra você!","Hey, Daniel, I prepared a training plan for you!",
cap1_conversa_ana/say_22,Como assim?,Come again?,
cap1_conversa_ana/say_23,"Você tá muito parado, precisa aumentar sua resistência física.",You don't get enough exercise. We'll need to work on your stamina.,
cap1_conversa_ana/say_24,"É bem simples: vamos começar com 100 abdominais, 100 apoios de frente, 100 agachamentos e correr 10km...","It's really simple: we'll start with 100 sit-ups, 100 push-ups, 100 squats and a 10K run...",
cap1_conversa_ana/say_25,"Pera, quê?","Wait, what?",
cap1_conversa_ana/say_26,Os olhos do garoto exibem um profundo medo por sua vida.,The boy's eyes express absolute fear for his life.,
cap1_conversa_ana/say_27,"Isso todos os dias! E depois pode treinar basquete comigo, se quiser.","And that's daily! And afterwards, you could shoot some hoops with me, if you want.",
cap1_conversa_ana/say_28,"Eu não vou ter resistência alguma se eu estiver morto, Ana!","I won't have any stamina at all if I'm dead, Anna!",
cap1_conversa_ana/say_29,"A garota continua tentando convencê-lo, sem sucesso.","The girl keeps trying to convince him, but to no avail.",
cap1_conversa_ana/say_30,Oi Ana! Como foram os testes pra ser pivô na nossa seleção de basquete?,"Hey, Anna! How did the Center tryouts go?",
cap1_conversa_ana/say_31,"Foi péssimo... Eu consegui acertar muitas cestas a distância, mas a marcação e disputa de bola foram muito difíceis...","Awful... I managed to score a few three-pointers, but their defense and control of the ball were hard to challenge...",
cap1_conversa_ana/say_32,"Todo mundo era muito alto, eu não tinha como brigar pela bola...","Everyone was really tall, I had no way to fight for the ball...",
cap1_conversa_ana/say_33,A garota parece bem decepcionada.,The girl seems to be very disappointed.,
cap1_conversa_ana/say_34,Que droga! Mas eles não te deixaram entrar no time?,That sucks! But did they let you join the team in the end?,
cap1_conversa_ana/say_35,Não! Só ficaram me zoando e disseram que uma \qbaixinha\q como eu jamais poderia ser pivô.,No! They just laughed at me and said that a \qshorty\q like me could never play Center.,
cap1_conversa_ana/say_36,"Poxa, que droga.",Dang... that sucks.,
cap1_conversa_ana/say_37,Mas quero é ver quem vai me chamar de baixinha com a boca inchada!,Grr... I'd like to hear them call me \qshorty\q with a busted lip!,
cap1_conversa_ana/say_38,Hum... Por que você não tenta de novo?,Hmm... Why don't you try again?,
cap1_conversa_ana/say_39,"Eu já tentei três vezes, Daniel... Eles nunca me deixam.","I've already tried three times, Daniel... They'll never let me in.",
cap1_conversa_ana/say_40,"Então por que você... não tenta pra outra posição? Você disse que lança bem, não é? Poderia tentar ser armadora.","So, why don't you... try for another position? You said you're a good shooter, right? You could make a good Point Guard.",
cap1_conversa_ana/say_41,"É, pensando bem... É uma ótima ideia! Vou tentar isso no próximo teste! Não vou desistir!","Hmm, you know what... That's a great idea! I'll aim for that in the next tryout! I won't give up!",
cap1_conversa_ana/say_42,Ana agradece e Daniel fica feliz por poder ajudá-la.,"Anna thanks Daniel, who is happy for having been able to help.",
cap1_conversa_ana/say_43,...Aí eu tava lendo esse livro e percebi que a história dos Monsters é mesmo bem interessante.,"...So, I was reading this book and, you know, the Monsters actually have a very interesting history.",
cap1_conversa_ana/say_44,"Ana, encostada em uma parede, balança a cabeça lentamente em confirmação.","Anna, who leans against a wall, slowly nods along.",
cap1_conversa_ana/say_45,Eu não acredito como eles conseguiram virar o jogo e ganhar o último torneio no último minuto!,I can't believe they managed to change the score and win their last championship at the last second!,
cap1_conversa_ana/say_46,Daniel percebe que Ana está com os olhos fechados. E roncando.,Daniel notices that Anna's eyes are closed. And that she's snoring.,
cap1_conversa_ana/say_47,Ana?,Anna?,
cap1_conversa_ana/say_48,"Hã, oi? Falou comigo?","Huh, hey? Did you say something?",
cap1_conversa_ana/say_49,Você tá dormindo em pé?,Did you fall asleep standing up?,
cap1_conversa_ana/say_50,"Desculpa, os treinos pra entrar no clube de basquete têm consumido todas as minhas energias...","Sorry, with all the training for the tryouts, I have no energy left at all...",
cap1_conversa_ana/say_51,"Você tem que cuidar melhor de si! Tenho te visto sempre muito cansada ultimamente, então eu preparei isso aqui pra você.","You've got to take better care of yourself! I've noticed you've been tired a lot lately, so I made this for you.",
cap1_conversa_ana/say_52,Ele entrega um pequeno papel escrito a mão para a garota.,He hands the girl a piece of paper with some handwriting on it.,
cap1_conversa_ana/say_53,"Hum, uma dieta alimentar?","Uh, a diet?",
cap1_conversa_ana/say_54,Você precisa se alimentar bem se quiser ter energia pra ser a melhor jogadora de basquete do mundo!,"You need a lot of energy to be the world's greatest basketball player! And for that, you need to eat right!",
cap1_conversa_ana/say_55,Obrigada! Com certeza vai me ajudar!,Thanks! I'm sure that'll help!,
cap1_conversa_ana/say_56,"Hoje eu trouxe um bolo que eu fiz pra você, Daniel! Espero que goste!","Today, I brought a cake that I made for you, Daniel! I hope you like it!",
cap1_conversa_ana/say_57,"Certo, deixa eu provar aqui.","Okay, let me try it...",
cap1_conversa_ana/say_58,Daniel prova um pedaço do bolo dando uma grande mordida.,Daniel takes a big bite of the cake.,
cap1_conversa_ana/say_59,"E aí, o que achou?","So, what do you think?",
cap1_conversa_ana/say_60,"O garoto inicialmente fica vermelho, depois começa a suar, ficar verde e com os cabelos em pé. Ana parece preocupada.","The boy's face goes red, then green. He starts sweating profusely, and his hair stands on end. Anna looks concerned.",
cap1_conversa_ana/say_61,Você... gostou?,So... do you like it?,
cap1_conversa_ana/say_62,"Tremendo e com os olhos esbugalhados, Daniel engole o pedaço de bolo.","Shaking and looking like his eyes are about to pop out, Daniel swallows the piece of cake.",
cap1_conversa_ana/say_63,T-tá... er... \qinteressante\q.,It's... erm... \qinteresting\q.,
cap1_conversa_ana/say_64,"Você odiou, não é?","You hate it, don't you?",
cap1_conversa_ana/say_65,Na-não... Eu g-gostei.,N-no... I l-like it.,
cap1_conversa_ana/say_66,Ana faz uma cara de choro.,Anna looks like she's about to cry.,
cap1_conversa_ana/say_67,"Me desculpa, eu sei que tá horrível. Eu passei a noite toda ontem tentando, mas esse foi o que ficou melhorzinho.","Sorry, I know it's awful. I baked all through the night, but this was the best one out of the batch.",
cap1_conversa_ana/say_68,"Você sempre cozinha pra mim, então eu quis retribuir...","You're always cooking for me, so I wanted to repay the favor...",
cap1_conversa_ana/say_69,Daniel abre um sorriso.,Daniel cracks open a smile.,
cap1_conversa_ana/say_70,"O que importa é a intenção. Obrigado por ter se esforçado por mim, Ana.","It's the thought that counts. Thank you for going through all that for me, Anna.",
cap1_conversa_ana/say_71,A garota sorri. Em seguida o estômago de Daniel faz barulhos estranhos e ele corre para o banheiro.,The girl smiles. Then Daniel's stomach starts making unusual noises. The boy rushes towards the bathroom.,
cap1_conversa_ana/say_72,"Ei Ana, você sabe alguma loja onde eu posso comprar uns shorts esportivos?","Hey, Anna, do you know a good sports clothes store?",
cap1_conversa_ana/say_73,"Roupas esportivas? Ué, você vai pra alguma festa a fantasia?","Sports clothes, huh? Are you attending a costume party?",
cap1_conversa_ana/say_74,"Não, pô! Eu vou começar a treinar. Tô considerando começar aquele treinamento que você fez pra mim...","Ah, come on! I'm going to start working out. I'm thinking about trying that training program you created for me...",
cap1_conversa_ana/say_75,Sério? Que legal!,Really? That's awesome!,
cap1_conversa_ana/say_76,É...,Yeah...,
cap1_conversa_ana/say_77,Eu vou contigo! E te ajudar a comprar as roupas também. Se quiser eu te empresto umas camisetas minhas de basquete.,"I'll join you! And help you choose the clothes, too. I can lend you some of my basketball jerseys, if you want.",
cap1_conversa_ana/say_78,"Haha, obrigado. Mas eu passo, quero ter minhas próprias.","Haha! Thanks, I'll pass though. I want to have my own.",
cap1_conversa_ana/say_79,Ana comemora animadamente e abraça Daniel.,Anna celebrates excitedly and gives Daniel a big hug.,
cap1_conversa_ana/say_80,Você quer ficar bem forte pra jogar basquete comigo?,Do you want to get strong so you can play basketball with me?,
cap1_conversa_ana/say_81,Você sempre me protege... Eu tô cansado de depender sempre de você.,I don't want to have to rely on your protection anymore...,
cap1_conversa_ana/say_82,"Eu também quero ser forte e poder te proteger, quando for necessário!","I want to be strong enough to protect you to, whenever you need it!",
cap1_conversa_ana/say_83,"Isso é muito legal! Eu sei que você vai conseguir, Daniel.","This is super cool! I know you're going to make it, Daniel.",
cap1_conversa_ana/say_84,"Aí nós vamos proteger os fracos, batendo em todo mundo que faz bullying no colégio!",And then we'll protect the weak! We'll punch all the bullies at school!,
cap1_conversa_ana/say_85,Não foi bem isso que eu quis dizer com \qte proteger\q...,That's not exactly what I meant when I said \qprotect you\q...,
cap1_conversa_ana/say_86,"Daniel, Daniel! Eu preciso muito falar com você!","Daniel, Daniel! I really need to talk to you!",
cap1_conversa_ana/say_87,A garota está com um sorriso radiante.,The girl is giving him a radiant smile.,
cap1_conversa_ana/say_88,"Oi, o que aconteceu de tão bom?","Huh, what happened for you to be so happy?",
cap1_conversa_ana/say_89,Eu passei no teste pra seleção de basquete do colégio!,I made it into the school basketball team!,
cap1_conversa_ana/say_90,"Caramba, que incrível, Ana! Finalmente eles perceberam o seu talento.","Oh wow, that's amazing, Anna! Took them long enough to realize how talented you are.",
cap1_conversa_ana/say_91,"O único porém é que eu não vou ser pivô, entrei como armadora. Mas pelo menos eu tô dentro, e foi graças à sua sugestão.","I'm not going to play Center, though. I got in as Point Guard, but at least I'm in! And it was all thanks to your suggestion.",
cap1_conversa_ana/say_92,Que ótimo! Fico feliz em ajudar.,That's awesome! I'm happy to help.,
cap1_conversa_ana/say_93,A garota fica com olhar distante por um momento.,The girl looks away for a moment.,
cap1_conversa_ana/say_94,"Mas é uma pena... Acho que eu nunca vou ser a maior pivô de todos os tempos, afinal...","But still, it's a shame... I guess I'll never be the greatest Center of all time, after all...",
cap1_conversa_ana/say_95,"Não, não desista! A Ana que eu conheço nunca desiste!","No, don't give up! The Anna I know would never give up!",
